worker_id,policy_id,zone,expected_income,actual_income,income_delta,delta_ratio,gps_offset_m,disruption_score,activity_score,claim_hour,is_duplicate,fraud_signals,is_fraud,population
4884,48841,north,181.07,100.36,80.71,0.4458,240.0,0.9784,0.8423,12,0,0,0,legit
7568,75683,south,228.64,93.85,134.78,0.5895,203.1,0.5979,0.7646,9,0,0,0,legit
6824,68243,north,261.95,102.07,159.88,0.6103,335.6,0.9178,0.7485,14,0,0,0,legit
6456,64564,central,213.97,84.43,129.54,0.6054,134.3,0.3637,0.7357,19,0,0,0,legit
9254,92544,east,159.5,36.07,123.44,0.7739,190.2,0.4099,0.7392,11,0,0,0,legit
2579,25794,north,155.43,48.01,107.42,0.6911,0.0,0.4982,0.8638,20,0,0,0,legit
9624,96243,north,280.0,82.87,197.13,0.704,198.0,0.5908,0.8858,13,0,0,0,legit
9928,99282,west,117.35,43.62,73.73,0.6283,43.3,0.7856,0.9272,12,0,0,0,legit
8945,89452,north,216.28,47.58,168.71,0.78,32.3,0.7194,0.8136,19,0,0,0,legit
4804,48043,south,213.97,57.65,156.32,0.7306,38.0,0.8773,0.7078,11,0,0,0,legit
9388,93884,north,202.5,124.45,78.05,0.3854,180.4,0.6266,0.7471,11,0,0,0,legit
1849,18493,east,161.24,75.26,85.98,0.5332,0.0,0.7001,0.5753,11,0,0,0,legit
5867,58673,north,145.35,80.54,64.81,0.4459,6.0,0.7321,0.8279,11,0,0,0,legit
2527,25273,north,250.92,54.75,196.17,0.7818,365.4,0.9212,0.9319,22,0,0,0,legit
3488,34883,west,120.28,31.07,89.21,0.7417,223.9,0.5858,0.4867,10,0,0,0,legit
9566,95663,central,192.57,103.06,89.51,0.4648,48.9,0.7417,0.7089,21,0,0,0,legit
3512,35123,central,188.48,43.55,144.93,0.769,221.1,0.4761,0.5091,12,0,0,0,legit
7582,75821,east,151.41,91.82,59.59,0.3935,0.0,0.6505,0.6635,21,0,0,0,legit
1558,15583,central,247.62,32.28,215.34,0.8696,11570.1,0.2934,0.1689,1,0,2,1,fraud
5103,51034,west,183.1,115.45,67.65,0.3695,236.3,0.9037,0.4476,20,0,0,0,legit
1783,17834,west,256.0,131.81,124.19,0.4851,0.0,0.9464,0.9464,20,0,0,0,legit
6436,64364,east,280.0,77.85,202.15,0.722,0.0,0.5685,0.5034,11,0,0,0,legit
3370,33701,west,280.0,117.06,162.94,0.5819,6.1,0.51,0.6809,12,0,0,0,legit
6380,63801,east,147.81,88.71,59.1,0.3999,251.9,0.4346,0.6984,19,0,0,0,legit
1965,19652,central,198.23,90.48,107.75,0.5436,291.0,0.8216,0.7849,22,0,0,0,legit
9331,93312,south,157.44,69.67,87.77,0.5575,86.4,0.778,0.8066,20,0,0,0,legit
4279,42792,west,122.9,59.56,63.34,0.5154,0.0,0.8496,0.739,19,0,0,0,legit
8629,86293,east,157.62,44.85,112.77,0.7155,356.3,0.8317,0.7312,11,0,0,0,legit
1693,16933,east,152.77,91.25,61.52,0.4027,0.0,0.3315,0.659,21,0,0,0,legit
1125,11251,south,158.66,59.7,98.96,0.6237,140.8,0.3997,0.703,19,0,0,0,legit
3596,35964,south,158.98,20.03,138.95,0.874,15173.7,0.0422,0.0068,5,0,3,1,fraud
6341,63411,east,223.07,201.53,21.54,0.0966,15926.9,0.4757,0.2318,5,0,1,0,fraud
8782,87824,south,82.54,25.72,56.81,0.6883,306.9,0.3971,0.8313,12,0,0,0,legit
4712,47121,south,169.23,162.33,6.9,0.0408,3846.0,0.0967,0.3126,7,0,2,1,fraud
5411,54113,north,215.31,129.88,85.44,0.3968,205.4,0.8617,0.8713,17,0,0,0,legit
4285,42851,west,155.51,60.95,94.56,0.608,0.0,0.7964,0.6386,8,0,0,0,legit
4516,45164,west,138.18,38.14,100.03,0.7239,166.1,0.8212,0.4995,20,0,0,0,legit
9185,91851,east,169.09,152.24,16.85,0.0996,5048.7,0.2803,0.1223,6,0,2,1,fraud
4946,49462,east,171.21,117.45,53.76,0.314,124.7,0.7884,0.5864,21,0,0,0,legit
8184,81841,east,234.29,88.84,145.45,0.6208,0.0,0.9361,0.6153,17,0,0,0,legit
7001,70012,south,249.1,169.32,79.78,0.3203,184.5,0.7169,0.7001,21,0,0,0,legit
5403,54032,central,119.64,76.69,42.95,0.359,186.0,0.4302,0.6987,17,0,0,0,legit
5658,56582,unknown,200.09,27.18,172.91,0.8642,2189.9,0.267,0.1571,4,0,1,0,fraud
9492,94923,north,194.29,103.4,90.9,0.4678,0.0,0.7445,0.7292,13,0,0,0,legit
3954,39543,north,210.6,49.5,161.1,0.765,451.2,0.5961,0.8932,20,0,0,0,legit
6452,64523,south,207.25,50.62,156.63,0.7557,0.0,0.9455,0.8938,21,0,0,0,legit
7377,73773,north,150.2,36.26,113.95,0.7586,455.4,0.9184,0.8302,11,0,0,0,legit
2981,29813,west,154.7,76.36,78.34,0.5064,0.0,0.7032,0.4873,20,0,0,0,legit
5762,57623,north,233.19,137.04,96.14,0.4123,0.0,0.7875,0.578,11,0,0,0,legit
8023,80233,south,176.65,89.35,87.3,0.4942,159.6,0.8211,0.7652,19,0,0,0,legit
1484,14842,west,138.03,48.71,89.32,0.6471,139.5,0.6151,0.8322,13,0,0,0,legit
4802,48023,north,125.39,31.75,93.64,0.7468,0.0,0.8893,0.8562,21,0,0,0,legit
5679,56793,west,116.27,23.68,92.59,0.7963,250.7,0.806,0.7916,21,0,0,0,legit
3869,38693,central,188.77,59.2,129.57,0.6864,240.4,0.7857,0.8354,20,0,0,0,legit
4073,40731,south,148.57,55.76,92.81,0.6247,235.0,0.8188,0.9019,12,0,0,0,legit
3329,33291,west,280.0,26.91,253.09,0.9039,4162.8,0.3017,0.1577,11,0,0,0,fraud
8460,84602,unknown,166.41,22.7,143.71,0.8636,5638.5,0.2396,0.2504,4,0,3,1,fraud
9234,92343,south,158.49,43.46,115.03,0.7258,252.8,0.6695,0.7281,20,0,0,0,legit
9774,97741,north,214.54,142.54,72.0,0.3356,0.0,0.9139,0.8827,15,0,0,0,legit
3512,35121,north,255.71,157.33,98.39,0.3848,0.0,0.6706,0.8358,12,0,0,0,legit
1018,10184,east,165.74,82.34,83.4,0.5032,152.8,0.6725,0.9917,12,0,0,0,legit
2238,22383,north,185.65,50.8,134.86,0.7264,54.6,0.8627,0.4784,11,0,0,0,legit
6954,69541,east,203.81,70.66,133.15,0.6533,99.5,0.6813,0.6941,11,0,0,0,legit
1783,17833,east,135.91,93.97,41.94,0.3086,94.1,0.855,0.8576,10,0,0,0,legit
7781,77813,south,109.81,23.54,86.28,0.7857,0.0,0.6683,0.8807,19,0,0,0,legit
1833,18332,north,204.64,56.58,148.05,0.7235,103.6,0.8311,0.6407,12,0,0,0,legit
6234,62344,east,165.29,41.08,124.21,0.7514,371.0,0.9098,0.6913,17,0,0,0,legit
2023,20234,north,107.6,49.78,57.82,0.5373,257.4,0.7744,0.824,14,0,0,0,legit
1475,14754,north,126.09,78.09,48.0,0.3807,0.0,0.9071,0.8906,12,0,0,0,legit
8678,86784,east,204.71,104.62,100.1,0.489,55.2,0.6159,0.6842,20,0,0,0,legit
9769,97693,north,178.41,58.18,120.23,0.6739,92.5,0.8624,0.9019,11,0,0,0,legit
8227,82272,east,156.0,51.84,104.15,0.6677,519.6,0.7946,0.8282,11,0,0,0,legit
2818,28182,east,222.9,52.55,170.35,0.7643,130.9,0.6136,0.7113,13,0,0,0,legit
5229,52294,south,120.43,108.89,11.54,0.0958,6304.4,0.3151,0.0691,3,0,3,1,fraud
9959,99592,south,156.64,101.96,54.67,0.3491,111.8,0.6975,0.8401,12,0,0,0,legit
4292,42923,central,130.99,51.31,79.68,0.6083,263.4,0.6657,0.8756,19,0,0,0,legit
8291,82914,east,146.59,71.32,75.28,0.5135,338.3,0.7142,0.8483,12,0,0,0,legit
8018,80182,north,225.73,95.49,130.23,0.577,25.8,0.9131,0.9321,18,0,0,0,legit
6785,67853,east,120.88,76.48,44.4,0.3673,68.2,0.9061,0.717,11,0,0,0,legit
6737,67374,south,125.42,73.02,52.4,0.4178,24.1,0.4907,0.8624,20,0,0,0,legit
1861,18612,south,141.07,79.54,61.54,0.4362,392.6,0.4624,0.8639,21,0,0,0,legit
1041,10413,central,82.07,56.42,25.65,0.3125,66.9,0.8584,0.9171,12,0,0,0,legit
8332,83324,central,174.7,101.78,72.92,0.4174,171.7,0.7612,0.7791,10,0,0,0,legit
2316,23164,east,215.28,51.19,164.09,0.7622,32.6,0.8543,0.8264,20,0,0,0,legit
6796,67963,north,150.2,136.79,13.41,0.0893,17280.7,0.1703,0.1406,17,0,3,1,fraud
4939,49392,south,176.66,95.57,81.09,0.459,168.4,0.6595,0.9144,14,0,0,0,legit
6930,69304,south,224.4,114.99,109.41,0.4876,24.4,0.7264,0.8367,12,0,0,0,legit
7482,74823,east,166.09,89.56,76.52,0.4607,0.0,0.985,0.6819,12,0,0,0,legit
2413,24132,west,125.95,72.75,53.2,0.4224,191.5,0.9347,0.9324,20,0,0,0,legit
7576,75761,north,149.57,34.48,115.09,0.7694,162.1,0.6471,0.8673,8,0,0,0,legit
7217,72172,north,225.97,75.78,150.19,0.6647,194.2,0.7812,0.8648,17,0,0,0,legit
7237,72374,central,96.87,91.33,5.54,0.0572,5742.3,0.0959,0.0377,6,0,3,1,fraud
3824,38241,west,223.18,96.11,127.07,0.5694,270.2,0.7167,0.7922,20,0,0,0,legit
3185,31854,north,230.77,63.15,167.62,0.7264,342.6,0.8177,0.8219,19,0,0,0,legit
4226,42264,central,243.43,73.4,170.03,0.6985,61.0,0.6604,0.9363,11,0,0,0,legit
2434,24344,west,103.26,63.41,39.85,0.3859,261.1,0.9287,0.6322,20,0,0,0,legit
9960,99602,north,145.66,61.5,84.16,0.5778,371.5,0.8462,0.9513,15,0,0,0,legit
2446,24464,west,165.34,70.28,95.06,0.5749,477.4,0.5696,0.6613,13,0,0,0,legit
6554,65543,unknown,136.51,127.57,8.94,0.0655,16610.4,0.3884,0.0821,3,0,3,1,fraud
2511,25113,south,173.3,91.44,81.86,0.4724,0.0,0.6009,0.7831,17,0,0,0,legit
4272,42723,west,157.5,103.67,53.83,0.3418,15.0,0.7442,0.8988,13,0,0,0,legit
1916,19162,east,180.83,70.1,110.73,0.6123,84.2,0.7565,0.945,19,0,0,0,legit
8705,87051,central,166.01,37.81,128.21,0.7723,56.2,0.8033,0.9153,19,0,0,0,legit
8828,88282,east,113.04,54.71,58.33,0.516,325.4,0.5568,0.8186,18,0,0,0,legit
6039,60394,south,101.68,48.27,53.41,0.5253,0.0,0.8109,0.8521,21,0,0,0,legit
6286,62862,central,176.35,162.41,13.94,0.079,8264.0,0.5,0.1245,1,0,3,1,fraud
4951,49514,west,163.63,105.73,57.89,0.3538,246.9,0.8992,0.7463,20,0,0,0,legit
7626,76263,north,167.81,97.95,69.87,0.4163,162.6,0.8848,0.7627,19,0,0,0,legit
3423,34233,east,229.32,128.42,100.9,0.44,174.8,0.4415,0.7537,12,0,0,0,legit
4354,43544,north,193.51,40.6,152.91,0.7902,567.9,0.9353,0.8526,13,0,0,0,legit
8781,87811,east,191.19,41.86,149.33,0.781,249.3,0.7165,0.782,12,0,0,0,legit
6590,65901,south,217.18,107.28,109.89,0.506,0.0,0.8697,0.4611,10,0,0,0,legit
8740,87403,west,141.39,52.17,89.22,0.631,365.6,0.9851,0.7202,12,0,0,0,legit
1895,18952,central,90.85,45.04,45.8,0.5042,308.0,0.7394,0.5722,21,0,0,0,legit
5204,52042,east,181.86,106.11,75.75,0.4165,101.8,0.5158,0.7628,20,0,0,0,legit
1624,16243,east,246.2,90.33,155.87,0.6331,352.2,0.8061,0.9353,19,0,0,0,legit
9834,98341,east,151.99,142.07,9.93,0.0653,4991.7,0.5,0.2432,1,0,1,0,fraud
3866,38663,north,108.57,47.12,61.45,0.566,496.8,0.8424,0.509,10,0,0,0,legit
3167,31671,west,141.43,83.92,57.51,0.4066,197.7,0.6229,0.9269,18,0,0,0,legit
9641,96413,central,117.72,115.18,2.55,0.0216,6397.4,0.0987,0.3465,1,0,4,1,fraud
6162,61623,east,85.21,26.58,58.63,0.6881,423.0,0.8442,0.7299,10,0,0,0,legit
5116,51164,north,162.78,149.64,13.14,0.0807,18850.2,0.3955,0.0685,20,0,2,1,fraud
8511,85113,central,195.55,51.46,144.09,0.7368,487.4,0.5203,0.7026,18,0,0,0,legit
6780,67804,south,136.81,87.6,49.22,0.3597,0.0,0.6233,0.7816,20,0,0,0,legit
1855,18552,east,221.91,51.53,170.37,0.7678,300.0,0.9506,0.9545,19,0,0,0,legit
9513,95133,unknown,116.82,11.05,105.77,0.9054,12179.9,0.1391,0.0739,4,0,4,1,fraud
3061,30614,east,200.33,137.67,62.66,0.3128,241.9,0.7897,0.5667,11,0,0,0,legit
3131,31313,central,148.33,92.03,56.3,0.3796,380.2,0.6875,0.8031,19,0,0,0,legit
2741,27414,east,105.42,40.54,64.88,0.6154,115.7,0.6947,0.8229,12,0,0,0,legit
6402,64021,west,231.04,63.39,167.64,0.7256,181.5,0.9331,0.7601,11,0,0,0,legit
2215,22154,central,137.58,68.59,68.98,0.5014,10.6,0.4125,0.6739,13,0,0,0,legit
9697,96974,north,200.95,58.32,142.63,0.7098,0.0,0.6608,0.4915,18,0,0,0,legit
6517,65171,south,245.54,89.48,156.06,0.6356,678.2,0.7689,0.9564,19,0,0,0,legit
6982,69823,central,121.49,114.52,6.97,0.0573,2977.9,0.0883,0.1111,4,0,3,1,fraud
4205,42052,east,218.6,202.78,15.82,0.0723,12500.7,0.3108,0.1511,21,0,1,0,fraud
8818,88183,north,114.02,50.4,63.61,0.5579,224.2,0.7937,0.8346,19,0,0,0,legit
1679,16791,central,138.59,41.87,96.72,0.6979,0.0,0.5867,0.5033,18,0,0,0,legit
1888,18881,east,162.38,86.97,75.41,0.4644,226.9,0.8004,0.5395,19,0,0,0,legit
3123,31231,south,110.88,35.39,75.49,0.6808,98.2,0.6089,0.6646,19,0,0,0,legit
4260,42604,east,189.26,14.43,174.83,0.9238,9500.4,0.3167,0.1365,1,0,4,1,fraud
3598,35984,north,240.79,112.45,128.34,0.533,97.7,0.8442,0.7594,17,0,0,0,legit
6463,64631,south,150.06,67.39,82.66,0.5509,234.0,0.8176,0.6175,19,0,0,0,legit
6586,65862,west,178.86,100.2,78.66,0.4398,0.0,0.6118,0.7275,18,0,0,0,legit
7924,79241,west,156.41,47.85,108.57,0.6941,69.8,0.6207,0.8723,21,0,0,0,legit
5465,54651,central,149.36,35.18,114.18,0.7645,419.1,0.8205,0.3349,20,0,0,0,legit
7116,71161,central,280.0,169.76,110.24,0.3937,0.0,0.8373,0.9004,20,0,0,0,legit
2908,29082,east,280.0,170.04,109.96,0.3927,264.7,0.6996,0.8184,19,0,0,0,legit
4501,45014,east,132.85,52.81,80.04,0.6025,168.9,0.7577,0.8982,12,0,0,0,legit
5879,58792,south,229.25,131.02,98.23,0.4285,128.5,0.7451,0.655,12,0,0,0,legit
1291,12914,east,208.54,199.19,9.34,0.0448,5106.4,0.1823,0.0313,8,0,4,1,fraud
3333,33334,central,188.01,73.03,114.99,0.6116,18.4,0.4464,0.743,20,0,0,0,legit
9272,92721,south,140.59,87.03,53.56,0.381,372.4,0.6235,0.7278,18,0,0,0,legit
8593,85932,west,139.12,44.52,94.6,0.68,0.0,0.6964,0.6359,21,0,0,0,legit
8509,85093,north,165.81,97.09,68.72,0.4144,217.0,0.5568,0.639,22,0,0,0,legit
8499,84992,west,214.91,101.82,113.09,0.5262,588.8,0.453,0.9143,19,0,0,0,legit
1761,17611,north,221.54,58.88,162.66,0.7342,142.7,0.5787,0.6998,10,0,0,0,legit
3792,37922,unknown,182.22,1.84,180.38,0.9899,2094.4,0.5,0.35,20,0,1,0,fraud
3576,35761,north,152.74,82.82,69.92,0.4578,90.5,0.5914,0.5067,11,0,0,0,legit
3375,33753,west,211.88,109.99,101.89,0.4809,144.9,0.6184,0.7773,13,0,0,0,legit
1224,12244,central,152.25,79.16,73.09,0.4801,322.0,0.923,0.7587,12,0,0,0,legit
3480,34803,central,180.77,167.37,13.41,0.0742,4731.3,0.1939,0.1101,1,0,3,1,fraud
6048,60482,north,143.23,99.51,43.72,0.3053,180.5,0.692,0.3385,21,0,0,0,legit
5961,59612,west,193.89,63.8,130.09,0.671,153.1,0.7296,0.8786,12,0,0,0,legit
3522,35221,south,197.15,99.93,97.22,0.4931,172.5,0.703,0.8518,18,0,0,0,legit
5453,54532,east,188.42,92.32,96.1,0.51,413.5,0.8703,0.8164,9,0,0,0,legit
1614,16142,north,124.27,57.7,66.57,0.5357,0.0,0.6515,0.8543,17,0,0,0,legit
9854,98544,east,183.37,113.07,70.29,0.3834,0.0,0.3273,0.8822,9,0,0,0,legit
7891,78913,west,236.94,112.33,124.61,0.5259,18.0,0.668,0.4809,17,0,0,0,legit
1420,14204,central,129.93,12.12,117.81,0.9067,18717.1,0.4608,0.1591,19,0,1,0,fraud
5987,59874,north,141.94,71.09,70.85,0.4991,315.1,0.7802,0.6731,20,0,0,0,legit
9549,95492,west,87.76,57.94,29.81,0.3397,0.0,0.8653,0.4247,21,0,0,0,legit
2365,23652,north,169.06,45.9,123.16,0.7285,178.4,0.7266,0.7713,11,0,0,0,legit
8257,82572,west,80.0,31.33,48.67,0.6083,332.3,0.4581,0.8526,20,0,0,0,legit
7027,70273,north,191.63,47.05,144.58,0.7545,91.4,0.6673,0.4153,9,0,0,0,legit
3824,38243,north,196.88,189.61,7.27,0.0369,4775.1,0.0948,0.1183,2,0,4,1,fraud
4888,48884,east,280.0,166.24,113.76,0.4063,196.9,0.8482,0.963,20,0,0,0,legit
6412,64122,central,234.81,122.15,112.66,0.4798,116.1,0.7271,0.4663,12,0,0,0,legit
1514,15141,central,255.63,86.37,169.26,0.6621,95.3,0.7915,0.785,20,0,0,0,legit
5963,59633,central,217.79,152.32,65.47,0.3006,113.3,0.8553,0.3919,19,0,0,0,legit
6614,66143,south,134.44,36.78,97.66,0.7264,195.4,0.8904,0.6763,14,0,0,0,legit
7205,72052,central,116.81,72.07,44.74,0.383,139.1,0.7291,0.8839,10,0,0,0,legit
8646,86464,east,182.27,96.21,86.06,0.4722,85.6,0.3601,0.4651,11,0,0,0,legit
7612,76122,east,153.91,53.8,100.12,0.6505,0.0,0.623,0.6394,12,0,0,0,legit
3056,30563,south,82.41,24.38,58.03,0.7042,0.0,0.8001,0.5359,19,0,0,0,legit
6524,65242,west,188.6,93.6,94.99,0.5037,206.7,0.778,0.6056,11,0,0,0,legit
9994,99941,west,184.04,58.88,125.16,0.6801,0.0,0.4547,0.7068,11,0,0,0,legit
3669,36694,unknown,248.48,237.31,11.16,0.0449,16903.0,0.4114,0.1213,3,0,4,1,fraud
6374,63742,west,163.66,49.71,113.95,0.6963,134.8,0.8734,0.8237,11,0,0,0,legit
7825,78252,east,116.92,27.16,89.76,0.7677,45.0,0.7445,0.8634,18,0,0,0,legit
5295,52954,north,140.44,80.09,60.35,0.4297,40.1,0.5212,0.643,23,0,0,0,legit
6260,62603,north,194.18,188.6,5.58,0.0287,7767.6,0.422,0.1216,5,0,3,1,fraud
8011,80111,south,136.34,35.63,100.71,0.7387,37.4,0.8597,0.6498,21,0,0,0,legit
2952,29522,south,151.35,83.41,67.94,0.4489,257.6,0.6565,0.555,20,0,0,0,legit
7481,74811,south,163.09,51.49,111.6,0.6843,0.0,0.7673,0.6845,14,0,0,0,legit
7890,78901,north,101.22,59.38,41.83,0.4133,515.4,0.7274,0.7195,14,0,0,0,legit
3727,37272,south,196.82,104.15,92.67,0.4708,0.0,0.6133,0.4863,20,0,0,0,legit
8588,85882,east,140.91,48.82,92.09,0.6536,98.0,0.8122,0.7519,19,0,0,0,legit
6742,67423,east,144.36,93.61,50.75,0.3516,197.7,0.868,0.8962,11,0,0,0,legit
6119,61192,west,176.82,102.68,74.14,0.4193,38.3,0.9371,0.9537,8,0,0,0,legit
1515,15152,central,170.58,94.93,75.64,0.4435,211.8,0.7079,0.7619,18,0,0,0,legit
8640,86401,north,245.21,62.19,183.03,0.7464,318.9,0.8527,0.7894,17,0,0,0,legit
8694,86943,west,148.34,56.76,91.58,0.6174,267.2,0.8355,0.9406,20,0,0,0,legit
9520,95203,central,124.19,62.18,62.02,0.4994,330.8,0.5265,0.8188,20,0,0,0,legit
9937,99374,south,262.2,88.79,173.41,0.6614,0.0,0.8829,0.6715,20,0,0,0,legit
5357,53574,east,91.28,51.56,39.72,0.4352,0.0,0.9155,0.7814,19,0,0,0,legit
1685,16853,unknown,91.16,83.31,7.85,0.0862,8503.5,0.0935,0.35,5,0,2,1,fraud
1831,18313,south,187.2,85.3,101.9,0.5444,0.0,0.92,0.8636,11,0,0,0,legit
7451,74514,south,154.22,100.52,53.7,0.3482,82.2,0.7458,0.7126,20,0,0,0,legit
6908,69083,east,174.76,22.71,152.05,0.87,4836.9,0.3104,0.1395,5,0,1,0,fraud
7986,79863,east,198.76,135.0,63.76,0.3208,250.8,0.9309,0.7315,11,0,0,0,legit
5288,52881,west,154.03,60.19,93.84,0.6093,304.3,0.8226,0.894,9,0,0,0,legit
4656,46561,east,184.34,83.58,100.76,0.5466,46.2,0.902,0.8015,9,0,0,0,legit
9538,95381,unknown,203.33,2.43,200.9,0.9881,3684.5,0.3673,0.0574,10,0,2,1,fraud
2308,23082,west,140.12,73.59,66.53,0.4748,205.6,0.7322,0.6956,18,0,0,0,legit
9535,95351,north,193.12,102.08,91.04,0.4714,176.9,0.3996,0.5508,10,0,0,0,legit
8083,80833,north,164.17,106.31,57.87,0.3525,124.9,0.8468,0.7309,9,0,0,0,legit
2765,27653,west,280.0,255.3,24.7,0.0882,17085.4,0.5,0.158,9,0,1,0,fraud
2958,29584,north,124.57,85.82,38.74,0.311,92.9,0.5211,0.6659,19,0,0,0,legit
1127,11274,east,135.58,44.41,91.17,0.6725,100.1,0.8966,0.2849,19,0,0,0,legit
5637,56372,central,121.14,5.71,115.43,0.9529,2460.1,0.2839,0.0427,11,0,2,1,fraud
7731,77314,west,154.73,146.6,8.13,0.0526,19256.2,0.0694,0.1308,2,0,4,1,fraud
5023,50234,central,162.69,75.39,87.3,0.5366,0.0,0.4611,0.8895,12,0,0,0,legit
8027,80273,south,200.59,73.1,127.49,0.6356,475.1,0.9139,0.5991,18,0,0,0,legit
3747,37474,unknown,83.77,0.47,83.3,0.9944,2904.2,0.5,0.3359,16,0,1,0,fraud
8271,82714,south,120.94,43.48,77.46,0.6405,99.9,0.6931,0.4983,14,0,0,0,legit
3231,32313,east,148.17,92.69,55.48,0.3744,77.1,0.9268,0.5958,18,0,0,0,legit
5427,54271,west,208.98,63.18,145.8,0.6977,248.9,0.8217,0.8638,11,0,0,0,legit
4522,45222,west,280.0,74.89,205.11,0.7325,37.8,0.8805,0.9137,12,0,0,0,legit
1478,14783,central,185.06,60.64,124.42,0.6723,345.0,0.2426,0.7598,20,0,1,0,legit
6669,66694,south,142.54,64.4,78.14,0.5482,0.0,0.8056,0.682,21,0,0,0,legit
4687,46874,west,222.95,55.83,167.12,0.7496,0.0,0.514,0.8166,21,0,0,0,legit
6086,60861,central,95.56,50.68,44.89,0.4697,40.3,0.7831,0.8324,19,0,0,0,legit
8660,86601,central,140.39,39.94,100.45,0.7155,231.4,0.7262,0.9801,17,0,0,0,legit
9042,90424,south,236.42,62.28,174.13,0.7366,256.2,0.5253,0.8534,21,0,0,0,legit
4521,45213,east,149.61,91.04,58.57,0.3915,339.8,0.8251,0.8829,19,0,0,0,legit
5258,52581,central,193.17,6.76,186.41,0.965,3719.8,0.4509,0.1487,4,0,3,1,fraud
4580,45802,east,153.77,139.9,13.87,0.0902,3634.3,0.1482,0.0233,6,0,2,1,fraud
